species,rough bark imperfectly shed
Corymbia dendromerinx,yes
Corymbia torelliana,yes
Eucalyptus adesmophloia,yes
Eucalyptus aspersa,yes
Eucalyptus aspratilis,yes
Eucalyptus astringens subsp. astringens,yes
Eucalyptus brachyphylla,yes
Eucalyptus burracoppinensis,yes
Eucalyptus calcareana,yes
Eucalyptus captiosa,yes
Eucalyptus celastroides subsp. celastroides,yes
Eucalyptus celastroides subsp. virella,yes
Eucalyptus ceratocorys,yes
Eucalyptus chloroclada,yes
Eucalyptus clivicola,yes
Eucalyptus conveniens,yes
Eucalyptus cornuta,yes
Eucalyptus crispata,yes
Eucalyptus discreta,yes
Eucalyptus dumosa,yes
Eucalyptus effusa,yes
Eucalyptus eremicola subsp. eremicola,yes
Eucalyptus eudesmioides subsp. eudesmioides,yes
Eucalyptus extrica,yes
Eucalyptus flindersii,yes
Eucalyptus flocktoniae subsp. flocktoniae,yes
Eucalyptus gardneri subsp. gardneri,yes
Eucalyptus gillii,yes
Eucalyptus gittinsii subsp. gittinsii,yes
Eucalyptus gittinsii subsp. illucida,yes
Eucalyptus gongylocarpa,yes
Eucalyptus gypsophila,yes
Eucalyptus halophila,yes
Eucalyptus hebetifolia,yes
Eucalyptus histophylla,yes
Eucalyptus horistes,yes
Eucalyptus incrassata,yes
Eucalyptus intertexta,yes
Eucalyptus jucunda,yes
Eucalyptus kruseana,yes
Eucalyptus lane-poolei,yes
Eucalyptus lateritica,yes
Eucalyptus leprophloia,yes
Eucalyptus leucoxylon subsp. leucoxylon,yes
Eucalyptus leucoxylon subsp. megalocarpa,yes
Eucalyptus leucoxylon subsp. pruinosa,yes
Eucalyptus leucoxylon subsp. stephaniae,yes
Eucalyptus longissima,yes
Eucalyptus loxophleba subsp. lissophloia,yes
Eucalyptus luteola,yes
Eucalyptus macrandra,yes
Eucalyptus magnificata,yes
Eucalyptus mannensis subsp. mannensis,yes
Eucalyptus medialis,yes
Eucalyptus melanophitra,yes
Eucalyptus melliodora,yes
Eucalyptus misella,yes
Eucalyptus obtusiflora,yes
Eucalyptus odontocarpa,yes
Eucalyptus oldfieldii,yes
Eucalyptus oleosa subsp. oleosa,yes
Eucalyptus oreades,yes
Eucalyptus oxymitra,yes
Eucalyptus petraea,yes
Eucalyptus petrensis,yes
Eucalyptus pluricaulis subsp. porphyrea,yes
Eucalyptus praetermissa,yes
Eucalyptus pruiniramis,yes
Eucalyptus pyriformis,yes
Eucalyptus quaerenda,yes
Eucalyptus rigidula,yes
Eucalyptus sessilis,yes
Eucalyptus singularis,yes
Eucalyptus socialis subsp. victoriensis,yes
Eucalyptus socialis subsp. viridans,yes
Eucalyptus sp. Southern Wheatbelt,yes
Eucalyptus thamnoides subsp. megista,yes
Eucalyptus thamnoides subsp. thamnoides,yes
Eucalyptus thozetiana,yes
Eucalyptus trivalvis,yes
Eucalyptus ultima,yes
Eucalyptus uncinata,yes
Eucalyptus yalatensis,yes
Eucalyptus youngiana,yes
Eucalyptus yumbarrana,yes
