species,rough bark loose basal slabs
Corymbia arafurica,yes
Corymbia papuana,yes
Eucalyptus adesmophloia,yes
Eucalyptus albopurpurea,yes
Eucalyptus amplifolia subsp. amplifolia,yes
Eucalyptus amplifolia subsp. sessiliflora,yes
Eucalyptus angularis,yes
Eucalyptus angulosa,yes
Eucalyptus aspratilis,yes
Eucalyptus barberi,yes
Eucalyptus behriana,yes
Eucalyptus benthamii,yes
Eucalyptus blakelyi,yes
Eucalyptus brachycalyx,yes
Eucalyptus brookeriana,yes
Eucalyptus cadens,yes
Eucalyptus calycogona subsp. spaffordii,yes
Eucalyptus calyerup,yes
Eucalyptus camaldulensis subsp. camaldulensis,yes
Eucalyptus camaldulensis subsp. minima,yes
Eucalyptus camphora subsp. camphora,yes
Eucalyptus camphora subsp. humeana,yes
Eucalyptus canobolensis,yes
Eucalyptus ceratocorys,yes
Eucalyptus coccifera,yes
Eucalyptus concinna,yes
Eucalyptus cordata subsp. quadrangulosa,yes
Eucalyptus cosmophylla,yes
Eucalyptus cretata,yes
Eucalyptus cyanophylla,yes
Eucalyptus cypellocarpa,yes
Eucalyptus dalrympleana subsp. dalrympleana,yes
Eucalyptus dalrympleana subsp. heptantha,yes
Eucalyptus dawsonii,yes
Eucalyptus dealbata,yes
Eucalyptus deanei,yes
Eucalyptus denticulata,yes
Eucalyptus diminuta,yes
Eucalyptus dorrigoensis,yes
Eucalyptus dumosa,yes
Eucalyptus dunnii,yes
Eucalyptus dwyeri,yes
Eucalyptus ebbanoensis subsp. photina,yes
Eucalyptus elaeophloia,yes
Eucalyptus elata,yes
Eucalyptus eremicola subsp. eremicola,yes
Eucalyptus eremicola subsp. peeneri,yes
Eucalyptus erythrandra,yes
Eucalyptus famelica,yes
Eucalyptus fasciculosa,yes
Eucalyptus flindersii,yes
Eucalyptus fraxinoides,yes
Eucalyptus froggattii,yes
Eucalyptus gamophylla,yes
Eucalyptus gillii,yes
Eucalyptus glaucescens,yes
Eucalyptus globulus subsp. bicostata,yes
Eucalyptus globulus subsp. globulus,yes
Eucalyptus globulus subsp. maidenii,yes
Eucalyptus globulus subsp. pseudoglobulus,yes
Eucalyptus goniocalyx subsp. exposa,yes
Eucalyptus gracilis,yes
Eucalyptus grandis,yes
Eucalyptus gunnii,yes
Eucalyptus imlayensis,yes
Eucalyptus incrassata,yes
Eucalyptus johnstonii,yes
Eucalyptus kartzoffiana,yes
Eucalyptus kingsmillii subsp. alatissima,yes
Eucalyptus kingsmillii subsp. kingsmillii,yes
Eucalyptus kitsoniana,yes
Eucalyptus langleyi,yes
Eucalyptus leucoxylon subsp. leucoxylon,yes
Eucalyptus leucoxylon subsp. megalocarpa,yes
Eucalyptus leucoxylon subsp. pruinosa,yes
Eucalyptus leucoxylon subsp. stephaniae,yes
Eucalyptus litoralis,yes
Eucalyptus mannifera subsp. gullickii,yes
Eucalyptus mannifera subsp. praecox,yes
Eucalyptus melliodora,yes
Eucalyptus misella,yes
Eucalyptus morrisbyi,yes
Eucalyptus multicaulis,yes
Eucalyptus nandewarica,yes
Eucalyptus nigrifunda,yes
Eucalyptus nitens,yes
Eucalyptus nobilis,yes
Eucalyptus oleosa subsp. oleosa,yes
Eucalyptus orbifolia,yes
Eucalyptus oreades,yes
Eucalyptus ovata var. grandiflora,yes
Eucalyptus ovata var. ovata,yes
Eucalyptus oxymitra,yes
Eucalyptus paludicola,yes
Eucalyptus parvula,yes
Eucalyptus perriniana,yes
Eucalyptus petiolaris,yes
Eucalyptus phenax subsp. compressa,yes
Eucalyptus polyanthemos subsp. vestita,yes
Eucalyptus pulchella,yes
Eucalyptus quadrans,yes
Eucalyptus regnans,yes
Eucalyptus rubida subsp. barbigerorum,yes
Eucalyptus rubida subsp. rubida,yes
Eucalyptus saligna,yes
Eucalyptus sargentii subsp. onesia,yes
Eucalyptus sargentii subsp. sargentii,yes
Eucalyptus serraensis,yes
Eucalyptus singularis,yes
Eucalyptus socialis subsp. socialis,yes
Eucalyptus socialis subsp. victoriensis,yes
Eucalyptus sp. Southern Wheatbelt,yes
Eucalyptus stellulata,yes
Eucalyptus strzeleckii,yes
Eucalyptus tenuiramis,yes
Eucalyptus tereticornis subsp. basaltica,yes
Eucalyptus tereticornis subsp. mediana,yes
Eucalyptus tereticornis subsp. rotunda,yes
Eucalyptus tereticornis subsp. tereticornis,yes
Eucalyptus thamnoides subsp. megista,yes
Eucalyptus thamnoides subsp. thamnoides,yes
Eucalyptus triflora,yes
Eucalyptus verrucata,yes
Eucalyptus vicina,yes
Eucalyptus viminalis subsp. hentyensis,yes
Eucalyptus viminalis subsp. pryoriana,yes
Eucalyptus viminalis subsp. viminalis,yes
Eucalyptus viridis,yes
Eucalyptus willisii subsp. falciformis,yes
Eucalyptus yalatensis,yes
Eucalyptus yarraensis,yes
Eucalyptus youngiana,yes
